Education Level,Job Title,Years of Experience,Salary
Master,Digital Marketing Manager,14,140000
Bachelor,Software Developer,3,60000
PhD,Senior Project Engineer,13,185000
High School,Junior Sales Representative,0,25000
PhD,Research Director,11,160000
Bachelor,Software Developer,2,60000
Bachelor,Sales Director,9,140000
Bachelor,Marketing Analyst,3,60000
Bachelor,Senior Project Engineer,23,181699
Bachelor,Financial Manager,16,200000
Bachelor,Senior Product Marketing Manager,5,85000
Bachelor,Sales Director,7,90000
Master,Marketing Director,14,190000
PhD,Senior Project Engineer,18,195000
PhD,Senior Data Scientist,12,170000
Bachelor,Software Engineer,4,140000
Master,Product Manager,11,198000
PhD,Data Scientist,18,182000
PhD,Software Engineer Manager,1,106686
PhD,Senior Research Scientist,12,140000
Master,Director of Marketing,19,170000
Master,Back end Developer,10,155000
Bachelor,Data Analyst,1,90000
Bachelor,Administrative Assistant,8,45000
PhD,Software Engineer Manager,20,200000
High School,Junior HR Coordinator,2,33000
High School,Digital Marketing Manager,2,40000
PhD,Senior Project Engineer,18,195000
PhD,Research Director,11,160000
Master,Marketing Manager,9,130000
High School,Receptionist,0,25000
Bachelor,Data Analyst,3,120000
Bachelor,Data Analyst,3,130000
PhD,Senior Project Engineer,13,185000
Bachelor,Software Engineer,8,190000
Bachelor,Product Manager,7,120000
PhD,Director of HR,11,115000
Master,Product Manager,11,198000
Bachelor,Junior Software Engineer,1,55000
Bachelor,Marketing Analyst,3,60000
Bachelor,Junior Marketing Manager,5,70000
Master,Director of HR,13,135000
Bachelor,Product Manager,13,160000
Bachelor,Product Manager,4,90000
PhD,Data Scientist,15,157000
PhD,Data Scientist,18,180000
Bachelor,Full Stack Engineer,4,77606
PhD,Director of Marketing,12,170000
Master,Software Engineer Manager,12,160000
Master,Software Engineer Manager,13,170000
PhD,Senior Research Scientist,11,135000
Master,Product Manager,6,110000
PhD,Software Engineer Manager,16,185000
Master,Human Resources Manager,15,152000
Master,Financial Analyst,4,90000
Master,Marketing Coordinator,13,131000
Master,Software Engineer Manager,12,160000
Master,Product Manager,11,198000
Master,Senior Data Scientist,9,125000
High School,Junior HR Generalist,1,32000
Master,Senior Project Engineer,15,143705
Master,Software Engineer Manager,11,160000
Bachelor,Full Stack Engineer,7,130000
Master,Data Scientist,8,130000
Bachelor,Financial Manager,16,215000
Bachelor,Data Analyst,1,90000
Bachelor,Software Engineer,6,155000
Bachelor,Product Manager,2,65000
Master,Senior Project Engineer,25,178859
Bachelor,Financial Analyst,4,80000
Bachelor,Product Manager,7,120000
Master,Senior Software Engineer,7,140000
Master,Human Resources Coordinator,3,50000
PhD,Director of HR,14,140000
Master,Senior HR Generalist,8,95000
Master,Marketing Director,11,160000
Bachelor,Data Scientist,9,185000
PhD,Senior Project Engineer,19,200000
High School,Receptionist,0,25000
Bachelor,Marketing Coordinator,4,65000
PhD,Data Scientist,9,145000
PhD,Senior Project Engineer,15,180000
Master,Senior Software Engineer,8,105000
Bachelor,Software Developer,3,60000
Bachelor,Marketing Analyst,0,40000
Bachelor,Senior Product Manager,7,95000
Bachelor,Digital Marketing Specialist,3,60000
Master,Data Scientist,9,185000
PhD,Director of HR,8,95000
Bachelor,Software Developer,2,60000
Master,Senior Software Engineer,5,99747
Master,Director of Marketing,21,180000
Master,Full Stack Engineer,10,163398
Master,Senior Software Engineer,11,170000
Bachelor,Web Developer,6,65000
Bachelor,Junior Data Analyst,2,50000
Bachelor,Junior Web Developer,3,50000
Master,Data Scientist,9,140000
Master,Data Scientist,6,180000
Master,Data Scientist,9,140000
PhD,Software Engineer Manager,15,185000
Bachelor,Director of Marketing,8,80000
Bachelor,Senior Marketing Specialist,10,120000
Bachelor,Supply Chain Manager,18,105000
Master,Product Manager,14,180000
Bachelor,Full Stack Engineer,6,100358
Bachelor,Software Engineer,3,70000
Bachelor,Product Designer,2,55000
Master,Financial Manager,7,120000
PhD,Research Director,11,170000
Bachelor,Software Engineer,5,75000
Bachelor,Data Analyst,3,120000
Master,Full Stack Engineer,5,84181
High School,Sales Manager,2,40000
Bachelor,Front End Developer,4,80000
Master,Back end Developer,0,55538
Master,Human Resources Manager,14,146000
Bachelor,Front end Developer,1,55000
Master,Human Resources Manager,12,130000
Bachelor,Data Analyst,5,145000
Master,Data Analyst,8,100000
Bachelor,Financial Manager,4,55000
Bachelor,Software Engineer,1,50000
Bachelor,Financial Manager,16,200000
Master,Senior Software Engineer,21,174305
Master,Financial Manager,13,130000
Bachelor,Marketing Manager,3,65000
Master,Full Stack Engineer,3,91397
Master,Product Manager,11,198000
Bachelor,Software Engineer,6,155000
High School,Junior Sales Associate,1,25000
Bachelor,Software Engineer,8,190000
Master,Marketing Coordinator,8,85000
Bachelor,Software Engineer,5,160000
PhD,Senior Research Scientist,13,145000
Bachelor,Junior Software Developer,1,35000
Bachelor,Junior Software Engineer,1,55000
Master,Marketing Manager,6,77000
Master,Senior Project Engineer,11,134482
Bachelor,Software Engineer,8,190000
Bachelor,Senior Project Engineer,25,177862
PhD,Data Scientist,7,170000
Bachelor,Back end Developer,3,80000
Bachelor,Front end Developer,7,120000
Bachelor,Marketing Analyst,4,70000
PhD,Senior Project Engineer,14,180000
High School,Sales Associate,0,25000
PhD,Director of HR,12,120000
Bachelor,Junior Account Manager,2,45000
PhD,Data Scientist,15,150000
Bachelor,Software Engineer,4,75000
Bachelor,Data Analyst,9,190000
Master,Data Scientist,9,140000
Master,Director of HR,5,80000
Master,Software Engineer Manager,14,180000
PhD,Research Director,11,160000
PhD,Software Engineer Manager,18,190000
PhD,Senior Project Engineer,16,185000
Bachelor,Product Manager,4,150000
Bachelor,Product Manager,7,120000
Bachelor,Data Analyst,9,195000
Master,Back end Developer,9,150000
Bachelor,Front end Developer,3,80000
Bachelor,Director of Marketing,8,80000
High School,Sales Associate,3,50000
Bachelor,Software Engineer Manager,8,135000
Master,Full Stack Engineer,5,84181
Master,Marketing Manager,11,117000
Bachelor,Software Developer,2,60000
PhD,Senior Project Engineer,13,185000
PhD,Data Scientist,7,185000
Master,Back end Developer,8,140000
Bachelor,Senior Marketing Coordinator,11,90000
Bachelor,Software Developer,3,60000
Bachelor,Product Manager,1,60000
Master,Marketing Manager,20,204000
Bachelor,Data Analyst,1,90000
Bachelor,Senior Product Marketing Manager,5,85000
Master,Marketing Manager,12,125000
PhD,Data Scientist,19,190000
Bachelor,Marketing Coordinator,4,65000
Bachelor,Software Engineer,4,140000
Bachelor,Marketing Coordinator,5,90000
High School,Sales Associate,1,30000
PhD,Data Scientist,8,140000
PhD,Senior Research Scientist,10,130000
Bachelor,Sales Manager,17,100000
PhD,Software Engineer Manager,16,185000
Master,Senior Project Engineer,22,182768
Master,Senior Software Engineer,19,185000
PhD,Senior Project Engineer,16,190000
Bachelor,Senior Project Engineer,25,177862
Bachelor,Marketing Coordinator,3,55000
Bachelor,Junior Sales Representative,1,35000
PhD,Data Scientist,8,140000
Bachelor,Software Engineer,4,75000
Bachelor,Front end Developer,12,137878
Bachelor,HR Manager,12,80000
Master,Marketing Coordinator,13,131000
Master,Marketing Manager,9,130000
Master,Senior Software Engineer,15,148437
Bachelor,Senior Project Engineer,28,192292
Master,Data Scientist,7,180000
Master,Human Resources Manager,13,140000
Master,Product Manager,11,198000
Master,Senior Project Engineer,9,145000
Master,Back end Developer,8,140000
Master,Software Engineer,2,60000
Master,Senior Human Resources Manager,13,125000
Bachelor,Software Engineer,5,160000
Bachelor,Front end Developer,2,65000
Bachelor,Marketing Coordinator,4,58000
PhD,Software Engineer Manager,17,195000
PhD,Senior Project Engineer,16,190000
Master,Marketing Manager,7,110000
High School,Front end Developer,2,62852
PhD,Data Scientist,8,190000
Master,Director of HR,12,120000
Bachelor,Data Analyst,3,135000
High School,Senior Software Engineer,29,158966
Bachelor,Data Analyst,3,130000
Bachelor,Software Engineer Manager,8,135000
PhD,Director of Marketing,12,170000
Bachelor,Human Resources Manager,6,75000
Bachelor,Content Marketing Manager,12,120000
Bachelor,Software Engineer,5,150000
PhD,Senior Data Analyst,17,160000
Bachelor,Sales Manager,11,110000
Bachelor,Front end Developer,1,60000
Master,Human Resources Coordinator,3,49000
Bachelor,Front end Developer,5,95000
PhD,Research Scientist,8,120000
Bachelor,Product Designer,3,60000
Bachelor,Software Developer,3,60000
Master,Full Stack Engineer,3,70216
Master,Front end Developer,2,65840
Bachelor,Sales Executive,1,35000
PhD,Data Scientist,16,160000
Bachelor,Product Manager,8,165000
Bachelor,Marketing Coordinator,4,65000
Bachelor,Front End Developer,1,50000
PhD,Director of HR,14,140000
Bachelor,Back end Developer,18,150901
Bachelor,Financial Manager,4,55000
Bachelor,Software Engineer,5,90000
Master,Business Development Manager,8,90000
Bachelor,Senior Product Marketing Manager,5,85000
Bachelor,Junior Sales Representative,2,35000
Bachelor,Front end Developer,3,80000
Bachelor,Senior Project Engineer,21,167015
Master,Director of Marketing,12,120000
Bachelor,Human Resources Manager,8,92000
Master,Senior Software Engineer,10,155000
Master,Senior Project Engineer,5,100425
Bachelor,Junior Recruiter,3,45000
Bachelor,Back end Developer,8,100052
PhD,Software Engineer Manager,16,185000
Bachelor,Product Manager,7,120000
Bachelor,Software Developer,2,55000
Master,Financial Manager,7,120000
PhD,Director of Data Science,16,200000
Master,Software Engineer Manager,22,182237
Bachelor,Software Engineer,4,140000
PhD,Senior Product Marketing Manager,19,190000
Master,Web Developer,10,110000
Bachelor,Product Manager,7,110000
PhD,Senior Data Engineer,16,160000
PhD,Software Engineer Manager,15,185000
Master,Senior Software Engineer,7,100000
Master,Front end Developer,4,90000
Master,Marketing Manager,13,130000
Bachelor,Marketing Coordinator,4,65000
Bachelor,Front end Developer,2,65000
Master,Software Developer,8,95000
Master,Product Manager,12,196000
PhD,Product Manager,14,195000
PhD,Senior Marketing Manager,18,140000
Bachelor,Sales Director,6,75000
PhD,Senior Product Marketing Manager,17,170000
PhD,Senior Project Engineer,16,185000
Master,Software Engineer,9,140000
Bachelor,Operations Manager,6,75000
Bachelor,Software Developer,2,55000
Bachelor,Software Engineer,5,150000
Bachelor,Software Engineer,3,85000
Bachelor,Senior Operations Coordinator,9,120000
PhD,Software Engineer Manager,13,180000
PhD,Senior Product Designer,15,150000
Bachelor,Back end Developer,3,80000
Bachelor,Software Engineer,2,60000
Bachelor,Graphic Designer,2,50000
Bachelor,Full Stack Engineer,6,115000
PhD,Senior Software Engineer,15,180000
PhD,Senior Product Marketing Manager,10,100000
Bachelor,Operations Manager,5,70000
Bachelor,Software Developer,2,60000
Bachelor,Front End Developer,4,80000
Bachelor,Front end Developer,4,90000
Bachelor,Marketing Manager,7,100000
Master,Full Stack Engineer,8,122970
PhD,Research Director,12,170000
Master,Web Developer,4,65000
Bachelor,Digital Marketing Specialist,4,65000
Bachelor,Operations Analyst,20,110000
Bachelor,Marketing Analyst,4,70000
Bachelor,Data Analyst,2,110000
PhD,Research Director,12,170000
Master,Data Analyst,1,100000
Bachelor,Software Developer,3,61000
High School,Sales Executive,1,35000
High School,Junior Sales Associate,1,30000
Bachelor,Data Analyst,3,100000
PhD,Software Engineer Manager,16,190000
Master,Full Stack Engineer,7,115920
Master,Human Resources Manager,11,120000
Master,Product Manager,3,130000
PhD,Senior Project Engineer,16,190000
Master,Data Scientist,6,175000
PhD,Senior Project Engineer,14,190000
Bachelor,Full Stack Engineer,8,124071
Master,Senior Data Scientist,8,120000
Bachelor,Data Analyst,3,130000
Bachelor,Senior Sales Representative,12,100000
Bachelor,Software Engineer Manager,8,135000
PhD,Director of HR,12,120000
Bachelor,Software Engineer,4,65000
Master,Back end Developer,8,140000
Master,Human Resources Manager,11,120000
Bachelor,Senior Project Engineer,20,151315
Bachelor,Product Manager,7,120000
Bachelor,Operations Manager,8,104000
Bachelor,Front end Developer,6,110000
Bachelor,Software Engineer,5,160000
Bachelor,Operations Manager,5,70000
Bachelor,Marketing Analyst,4,75000
Master,Human Resources Coordinator,3,49000
Bachelor,Human Resources Coordinator,2,45000
Bachelor,Back end Developer,1,55000
PhD,Senior Human Resources Manager,12,120000
Master,Full Stack Engineer,8,122581
High School,Sales Executive,1,35000
Master,Financial Manager,7,120000
Bachelor,Software Engineer,2,65000
PhD,Data Scientist,10,193000
PhD,Marketing Manager,6,75000
High School,Senior Software Engineer,29,158966
Master,Web Developer,7,85000
Master,Director of HR,9,95000
Master,Digital Marketing Manager,14,140000
Master,Full Stack Engineer,3,70216
Bachelor,Social Media Manager,3,55000
Bachelor,Data Analyst,3,130000
PhD,Senior Business Analyst,15,150000
PhD,Data Scientist,18,182000
Master,Marketing Coordinator,8,85000
Master,Data Analyst,8,100000
Master,Data Scientist,6,180000
Bachelor,Software Engineer,3,85000
High School,Sales Associate,1,35000
Master,Senior Software Engineer,19,185000
PhD,Data Scientist,19,190000
Master,Senior Financial Advisor,6,100000
Master,Senior Project Engineer,28,187120
High School,Junior HR Generalist,2,35000
Bachelor,Senior Project Engineer,24,166828
High School,Junior Sales Associate,1,25000
Master,Senior Software Engineer,15,134641
Bachelor,Human Resources Manager,6,75000
Bachelor,Software Engineer Manager,8,135000
Master,Product Manager,12,196000
Master,Human Resources Coordinator,3,50000
Bachelor,Help Desk Analyst,0,35000
Bachelor,Marketing Analyst,3,60000
Master,Product Manager,11,198000
PhD,Research Scientist,12,170000
High School,Web Developer,2,45000
Bachelor,Data Analyst,1,95000
High School,Receptionist,0,25000
Master,Senior Product Marketing Manager,14,120000
PhD,Senior Product Marketing Manager,8,80000
Master,Software Engineer Manager,23,182392
Bachelor,Marketing Analyst,4,75000
Bachelor,Product Manager,1,60000
Bachelor,Product Manager,7,170000
Bachelor,Financial Manager,16,200000
Bachelor,Junior HR Coordinator,3,45000
Bachelor,Data Analyst,2,125000
PhD,Data Scientist,2,115000
PhD,Senior Research Scientist,11,135000
Bachelor,Software Engineer,3,70000
Bachelor,Senior Marketing Analyst,8,85000
PhD,Director of Data Science,16,200000
Bachelor,Human Resources Manager,6,75000
Bachelor,Product Designer,2,55000
Bachelor,Software Engineer,4,140000
Bachelor,Digital Marketing Specialist,4,65000
Bachelor,Data Analyst,2,110000
High School,Junior Sales Associate,1,26000
PhD,Senior Project Engineer,16,190000
PhD,Software Engineer Manager,21,174821
Bachelor,Digital Marketing Manager,4,60000
Bachelor,Data Analyst,9,190000
PhD,Data Scientist,8,190000
Bachelor,Front End Developer,4,80000
Master,Senior Project Engineer,6,125000
Master,Software Engineer Manager,12,160000
Bachelor,Marketing Manager,8,115000
High School,Customer Service Representative,1,30000
PhD,Marketing Manager,4,55000
Bachelor,Financial Manager,16,210000
Bachelor,Front end Developer,4,90000
Bachelor,Data Analyst,3,130000
Master,Senior HR Generalist,11,115000
Bachelor,Marketing Coordinator,5,90000
Master,Full Stack Engineer,3,100000
PhD,Research Scientist,13,180000
PhD,Research Scientist,12,160000
High School,Sales Associate,3,50000
Master,Software Engineer Manager,12,160000
Master,Marketing Director,14,180000
High School,Junior Sales Associate,1,30000
Bachelor,Senior Marketing Analyst,8,85000
Master,Software Engineer Manager,13,170000
Master,Data Scientist,6,155000
PhD,Data Scientist,16,162000
PhD,Senior Product Marketing Manager,17,170000
Bachelor,Sales Executive,8,80000
Bachelor,Junior Social Media Manager,3,45000
Master,Marketing Coordinator,12,122000
Bachelor,Financial Manager,16,200000
Bachelor,Senior Operations Analyst,7,85000
Bachelor,Operations Manager,7,85000
Bachelor,Software Engineer,5,150000
Bachelor,Project Manager,8,120000
PhD,Software Engineer Manager,31,197354
Master,Data Analyst,8,100000
Bachelor,Product Manager,1,60000
High School,Sales Associate,3,50000
Master,Senior HR Generalist,10,105000
Bachelor,Software Engineer,3,70000
Bachelor,Product Manager,12,190000
High School,Junior Sales Associate,1,25000
